{'bit_size': 24, 'number': 7022903, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2551, 'pollard_time': 0.0, 'lenstra_factor': {2753, 2551}, 'lenstra_time': 0.0009996891021728516}
{'bit_size': 24, 'number': 6052747, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2843, 'pollard_time': 0.0, 'lenstra_factor': {2129, 2843}, 'lenstra_time': 0.00099945068359375}
{'bit_size': 24, 'number': 12283171, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3769, 'pollard_time': 0.0, 'lenstra_factor': {3769, 3259}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 11527337, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3739, 'pollard_time': 0.0, 'lenstra_factor': {3083, 3739}, 'lenstra_time': 0.001001596450805664}
{'bit_size': 24, 'number': 10718569, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3191, 'pollard_time': 0.0010008811950683594, 'lenstra_factor': {3191, 3359}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 7184161, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2621, 'pollard_time': 0.0, 'lenstra_factor': {2621, 2741}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 11629229, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 4079, 'pollard_time': 0.0015053749084472656, 'lenstra_factor': {2851, 4079}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 7855481, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2693, 'pollard_time': 0.0, 'lenstra_factor': {2917, 2693}, 'lenstra_time': 0.0010006427764892578}
{'bit_size': 24, 'number': 11182111, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3329, 'pollard_time': 0.0, 'lenstra_factor': {3329, 3359}, 'lenstra_time': 0.0009992122650146484}
{'bit_size': 24, 'number': 6934307, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3329, 'pollard_time': 0.0, 'lenstra_factor': {3329, 2083}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 14129681, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3739, 'pollard_time': 0.0, 'lenstra_factor': {3739, 3779}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 11816041, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3217, 'pollard_time': 0.0, 'lenstra_factor': {3673, 3217}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 8420033, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3169, 'pollard_time': 0.0, 'lenstra_factor': {2657, 3169}, 'lenstra_time': 0.0010030269622802734}
{'bit_size': 24, 'number': 7780859, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3739, 'pollard_time': 0.0, 'lenstra_factor': {2081, 3739}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 10255153, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2789, 'pollard_time': 0.0, 'lenstra_factor': {2789, 3677}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 7639141, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2843, 'pollard_time': 0.0, 'lenstra_factor': {2843, 2687}, 'lenstra_time': 0.00099945068359375}
{'bit_size': 24, 'number': 7958513, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2719, 'pollard_time': 0.0, 'lenstra_factor': {2719, 2927}, 'lenstra_time': 0.0010006427764892578}
{'bit_size': 24, 'number': 6432031, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2089, 'pollard_time': 0.0, 'lenstra_factor': {2089, 3079}, 'lenstra_time': 0.0012531280517578125}
{'bit_size': 24, 'number': 9218227, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2357, 'pollard_time': 0.0, 'lenstra_factor': {2357, 3911}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 10798699, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 4001, 'pollard_time': 0.0, 'lenstra_factor': {4001, 2699}, 'lenstra_time': 0.001001596450805664}
{'bit_size': 24, 'number': 7971193, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2683, 'pollard_time': 0.0, 'lenstra_factor': {2683, 2971}, 'lenstra_time': 0.0010001659393310547}
{'bit_size': 24, 'number': 5805727, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2239, 'pollard_time': 0.0, 'lenstra_factor': {2593, 2239}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 15551167, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3881, 'pollard_time': 0.0, 'lenstra_factor': {3881, 4007}, 'lenstra_time': 0.001506805419921875}
{'bit_size': 24, 'number': 7006609, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2647, 'pollard_time': 0.0, 'lenstra_factor': {2647}, 'lenstra_time': 0.0010077953338623047}
{'bit_size': 24, 'number': 13295323, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 4001, 'pollard_time': 0.0, 'lenstra_factor': {4001, 3323}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 9615917, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2711, 'pollard_time': 0.0, 'lenstra_factor': {3547, 2711}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 8796461, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2473, 'pollard_time': 0.0, 'lenstra_factor': {2473, 3557}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 9547309, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2887, 'pollard_time': 0.0, 'lenstra_factor': {3307, 2887}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 10000153, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3583, 'pollard_time': 0.0, 'lenstra_factor': {2791, 3583}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 7663571, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2309, 'pollard_time': 0.0, 'lenstra_factor': {2309, 3319}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 8889703, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2273, 'pollard_time': 0.0, 'lenstra_factor': {2273, 3911}, 'lenstra_time': 0.0009975433349609375}
{'bit_size': 24, 'number': 10372897, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2543, 'pollard_time': 0.0, 'lenstra_factor': {2543, 4079}, 'lenstra_time': 0.0009996891021728516}
{'bit_size': 24, 'number': 10180783, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3581, 'pollard_time': 0.0, 'lenstra_factor': {2843, 3581}, 'lenstra_time': 0.00124359130859375}
{'bit_size': 24, 'number': 7583857, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2591, 'pollard_time': 0.0, 'lenstra_factor': {2591, 2927}, 'lenstra_time': 0.0009987354278564453}
{'bit_size': 24, 'number': 6046357, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2441, 'pollard_time': 0.0, 'lenstra_factor': {2441, 2477}, 'lenstra_time': 0.00099945068359375}
{'bit_size': 24, 'number': 9197371, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2593, 'pollard_time': 0.0, 'lenstra_factor': {2593, 3547}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 8818609, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2203, 'pollard_time': 0.0, 'lenstra_factor': {2203, 4003}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 13176731, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3643, 'pollard_time': 0.0, 'lenstra_factor': {3617, 3643}, 'lenstra_time': 0.0}
{'bit_size': 24, 'number': 10339991, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 2843, 'pollard_time': 0.0, 'lenstra_factor': {2843, 3637}, 'lenstra_time': 0.0010001659393310547}
{'bit_size': 24, 'number': 9025469, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 3797, 'pollard_time': 0.0, 'lenstra_factor': {2377, 3797}, 'lenstra_time': 0.0}
