{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 1100205427, 'order': 2703258600, 'index_calculus_result': 477543442, 'index_calculus_time': 2.451294183731079, 'index_calculus_mem_mb': 0.6312065124511719}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 1243539179, 'order': 2703258600, 'index_calculus_result': 104089764, 'index_calculus_time': 2.4822545051574707, 'index_calculus_mem_mb': 0.62841796875}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 124837376, 'order': 2703258600, 'index_calculus_result': 373089369, 'index_calculus_time': 2.2021825313568115, 'index_calculus_mem_mb': 0.621490478515625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 1759586519, 'order': 2703258600, 'index_calculus_result': 559180520, 'index_calculus_time': 2.3904869556427, 'index_calculus_mem_mb': 0.6306953430175781}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 1797315928, 'order': 2703258600, 'index_calculus_result': 59749479, 'index_calculus_time': 2.0738470554351807, 'index_calculus_mem_mb': 0.610015869140625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 1660261469, 'order': 2703258600, 'index_calculus_result': 345835077, 'index_calculus_time': 3.1199049949645996, 'index_calculus_mem_mb': 0.6616439819335938}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 275121446, 'order': 2703258600, 'index_calculus_result': 1403242988, 'index_calculus_time': 2.5783886909484863, 'index_calculus_mem_mb': 0.6567153930664062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 908227114, 'order': 2703258600, 'index_calculus_result': 1859112421, 'index_calculus_time': 2.0964367389678955, 'index_calculus_mem_mb': 0.6101875305175781}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 67719384, 'order': 2703258600, 'index_calculus_result': 1059261731, 'index_calculus_time': 2.86037015914917, 'index_calculus_mem_mb': 0.6359481811523438}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 1284545571, 'order': 2703258600, 'index_calculus_result': 1671601444, 'index_calculus_time': 2.415292263031006, 'index_calculus_mem_mb': 0.6152381896972656}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 145601188, 'order': 2703258600, 'index_calculus_result': 134827576, 'index_calculus_time': 2.7071778774261475, 'index_calculus_mem_mb': 0.6341438293457031}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 1325264040, 'order': 2703258600, 'index_calculus_result': 1859261884, 'index_calculus_time': 2.336254596710205, 'index_calculus_mem_mb': 0.6238441467285156}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 1978945742, 'order': 2703258600, 'index_calculus_result': 2553360612, 'index_calculus_time': 2.8123159408569336, 'index_calculus_mem_mb': 0.6609001159667969}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 160195986, 'order': 2703258600, 'index_calculus_result': 1540254893, 'index_calculus_time': 2.2676351070404053, 'index_calculus_mem_mb': 0.6193771362304688}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 2233208926, 'order': 2703258600, 'index_calculus_result': 1319254295, 'index_calculus_time': 3.023303747177124, 'index_calculus_mem_mb': 0.6474494934082031}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 1610383746, 'order': 2703258600, 'index_calculus_result': 1356299824, 'index_calculus_time': 2.482126235961914, 'index_calculus_mem_mb': 0.6164131164550781}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 825854106, 'order': 2703258600, 'index_calculus_result': 2523818779, 'index_calculus_time': 1.8191885948181152, 'index_calculus_mem_mb': 0.6066513061523438}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 2308291365, 'order': 2703258600, 'index_calculus_result': 2591106046, 'index_calculus_time': 2.47542142868042, 'index_calculus_mem_mb': 0.640655517578125}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 1475950512, 'order': 2703258600, 'index_calculus_result': 2461682807, 'index_calculus_time': 2.733833074569702, 'index_calculus_mem_mb': 0.6688613891601562}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 2461847262, 'order': 2703258600, 'index_calculus_result': 1946008145, 'index_calculus_time': 3.1388847827911377, 'index_calculus_mem_mb': 0.661834716796875}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 2428265924, 'order': 2703258600, 'index_calculus_result': 1880225188, 'index_calculus_time': 2.37715482711792, 'index_calculus_mem_mb': 0.6322517395019531}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 1081944536, 'order': 2703258600, 'index_calculus_result': 1054518573, 'index_calculus_time': 2.4468679428100586, 'index_calculus_mem_mb': 0.6293678283691406}
