{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2583813854, 'order': 1351629300, 'baby_result': None, 'baby_time': 0.00019621849060058594, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1463572907, 'order': 1351629300, 'baby_result': None, 'baby_time': 0.00017189979553222656, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 189782547, 'order': 1351629300, 'baby_result': None, 'baby_time': 0.00016808509826660156, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1012010233, 'order': 1351629300, 'baby_result': None, 'baby_time': 0.00016188621520996094, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 533547320, 'order': 1351629300, 'baby_result': None, 'baby_time': 0.0001766681671142578, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1291037638, 'order': 1351629300, 'baby_result': None, 'baby_time': 0.0001583099365234375, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2653741833, 'order': 1351629300, 'baby_result': None, 'baby_time': 0.0001704692840576172, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1653128628, 'order': 1351629300, 'baby_result': None, 'baby_time': 0.00017070770263671875, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1048561594, 'order': 1351629300, 'baby_result': None, 'baby_time': 0.00015687942504882812, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2028315626, 'order': 1351629300, 'baby_result': None, 'baby_time': 0.0003476142883300781, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 329214853, 'order': 1351629300, 'baby_result': None, 'baby_time': 0.00019025802612304688, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1400513884, 'order': 1351629300, 'baby_result': None, 'baby_time': 0.00019931793212890625, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 521938676, 'order': 1351629300, 'baby_result': None, 'baby_time': 0.00022482872009277344, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 903547238, 'order': 1351629300, 'baby_result': None, 'baby_time': 0.0001995563507080078, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2102333786, 'order': 1351629300, 'baby_result': None, 'baby_time': 0.0002002716064453125, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 823125106, 'order': 1351629300, 'baby_result': None, 'baby_time': 0.00019073486328125, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2242235628, 'order': 1351629300, 'baby_result': None, 'baby_time': 0.0001633167266845703, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1305781680, 'order': 1351629300, 'baby_result': None, 'baby_time': 0.0001742839813232422, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2450667401, 'order': 1351629300, 'baby_result': None, 'baby_time': 0.0001633167266845703, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 828520710, 'order': 1351629300, 'baby_result': None, 'baby_time': 0.00022077560424804688, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1420384835, 'order': 1351629300, 'baby_result': None, 'baby_time': 0.00016808509826660156, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 746811621, 'order': 1351629300, 'baby_result': None, 'baby_time': 0.0003180503845214844, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2465806583, 'order': 1351629300, 'baby_result': None, 'baby_time': 0.00021409988403320312, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1992809178, 'order': 1351629300, 'baby_result': None, 'baby_time': 0.0002090930938720703, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 2700997237, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.0001595020294189453, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 2581010677, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.0002028942108154297, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 845998131, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.0001704692840576172, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 393359312, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.00017976760864257812, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 444846865, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.000171661376953125, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 355382235, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.00017333030700683594, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 1100205427, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.00018596649169921875, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 1243539179, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.0001518726348876953, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 124837376, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.0003070831298828125, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 1759586519, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.000152587890625, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 1797315928, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.00020742416381835938, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 1660261469, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.00016427040100097656, 'baby_mem_mb': 0.0013895034790039062}
