{'bit_size': 24, 'number': 7465807, 'hibrido_factor': 2347, 'hibrido_time': 0.0014393329620361328, 'hibrido_mem_mb': 0.001617431640625, 'lenstra_factor': 2347, 'lenstra_time': 0.003240823745727539, 'lenstra_mem_mb': 0.0023927688598632812, 'qs_factor': 2347, 'qs_time': 0.026773691177368164, 'qs_mem_mb': 0.0217742919921875}
{'bit_size': 24, 'number': 15754441, 'lenstra_factor': 3851, 'lenstra_time': 0.0006701946258544922, 'lenstra_mem_mb': 0.0023937225341796875, 'qs_factor': 3851, 'qs_time': 0.00228118896484375, 'qs_mem_mb': 0.023284912109375, 'hibrido_factor': 3851, 'hibrido_time': 0.002022266387939453, 'hibrido_mem_mb': 0.001617431640625}
{'bit_size': 24, 'number': 8572687, 'lenstra_factor': 2161, 'lenstra_time': 0.001482248306274414, 'lenstra_mem_mb': 0.0023927688598632812, 'hibrido_factor': 3967, 'hibrido_time': 0.0021905899047851562, 'hibrido_mem_mb': 0.001617431640625, 'qs_factor': 2161, 'qs_time': 0.00717926025390625, 'qs_mem_mb': 0.02182769775390625}
{'bit_size': 24, 'number': 6986251, 'lenstra_factor': 3079, 'lenstra_time': 0.001676797866821289, 'lenstra_mem_mb': 0.0023927688598632812, 'qs_factor': 2269, 'qs_time': 0.004364013671875, 'qs_mem_mb': 0.0214385986328125, 'hibrido_factor': 2269, 'hibrido_time': 0.006257772445678711, 'hibrido_mem_mb': 0.00079345703125}
{'bit_size': 24, 'number': 9921539, 'lenstra_factor': 3181, 'lenstra_time': 0.0008597373962402344, 'lenstra_mem_mb': 0.0023927688598632812, 'qs_factor': 3181, 'qs_time': 0.0018150806427001953, 'qs_mem_mb': 0.0214385986328125, 'hibrido_factor': 3181, 'hibrido_time': 0.00406956672668457, 'hibrido_mem_mb': 0.00079345703125}
{'bit_size': 24, 'number': 6380399, 'qs_factor': 2357, 'qs_time': 0.0013666152954101562, 'qs_mem_mb': 0.0214385986328125, 'lenstra_factor': 2707, 'lenstra_time': 0.003519296646118164, 'lenstra_mem_mb': 0.0023927688598632812, 'hibrido_factor': 2707, 'hibrido_time': 0.0029320716857910156, 'hibrido_mem_mb': 0.001617431640625}
{'bit_size': 24, 'number': 12611647, 'lenstra_factor': 3739, 'lenstra_time': 0.0028638839721679688, 'lenstra_mem_mb': 0.0023927688598632812, 'hibrido_factor': 3373, 'hibrido_time': 0.007248878479003906, 'hibrido_mem_mb': 0.001617431640625, 'qs_factor': 3373, 'qs_time': 0.00886988639831543, 'qs_mem_mb': 0.0230255126953125}
{'bit_size': 24, 'number': 7221593, 'lenstra_factor': 3373, 'lenstra_time': 0.0013153553009033203, 'lenstra_mem_mb': 0.0023012161254882812, 'qs_factor': 2141, 'qs_time': 0.003293275833129883, 'qs_mem_mb': 0.02182769775390625, 'hibrido_factor': 3373, 'hibrido_time': 0.0015850067138671875, 'hibrido_mem_mb': 0.001617431640625}
{'bit_size': 24, 'number': 5664319, 'lenstra_factor': 2371, 'lenstra_time': 0.0008234977722167969, 'lenstra_mem_mb': 0.0023012161254882812, 'hibrido_factor': 2371, 'hibrido_time': 0.0007162094116210938, 'hibrido_mem_mb': 0.0021715164184570312, 'qs_factor': 2371, 'qs_time': 0.002446889877319336, 'qs_mem_mb': 0.0214385986328125}
{'bit_size': 24, 'number': 10207829, 'lenstra_factor': 3181, 'lenstra_time': 0.0014414787292480469, 'lenstra_mem_mb': 0.0023927688598632812, 'hibrido_factor': 3181, 'hibrido_time': 0.0009942054748535156, 'hibrido_mem_mb': 0.00079345703125, 'qs_factor': 3181, 'qs_time': 0.002767801284790039, 'qs_mem_mb': 0.0214385986328125}
{'bit_size': 24, 'number': 10397533, 'qs_factor': 2999, 'qs_time': 0.004049062728881836, 'qs_mem_mb': 0.0218353271484375, 'hibrido_factor': 3467, 'hibrido_time': 0.011894941329956055, 'hibrido_mem_mb': 0.001617431640625, 'lenstra_factor': 3467, 'lenstra_time': 0.05653786659240723, 'lenstra_mem_mb': 0.0023927688598632812}
{'bit_size': 24, 'number': 9224071, 'hibrido_factor': 3469, 'hibrido_time': 0.0013091564178466797, 'hibrido_mem_mb': 0.001617431640625, 'qs_factor': 2659, 'qs_time': 0.03106236457824707, 'qs_mem_mb': 0.0214385986328125, 'lenstra_factor': 3469, 'lenstra_time': 0.05388832092285156, 'lenstra_mem_mb': 0.0023927688598632812}
{'bit_size': 24, 'number': 5152891, 'lenstra_factor': 2267, 'lenstra_time': 0.00393366813659668, 'lenstra_mem_mb': 0.0023927688598632812, 'hibrido_factor': 2267, 'hibrido_time': 0.0008656978607177734, 'hibrido_mem_mb': 0.00079345703125, 'qs_factor': 2267, 'qs_time': 0.0022096633911132812, 'qs_mem_mb': 0.0214385986328125}
{'bit_size': 24, 'number': 11611997, 'lenstra_factor': 3919, 'lenstra_time': 0.0057830810546875, 'lenstra_mem_mb': 0.0023927688598632812, 'hibrido_factor': 3919, 'hibrido_time': 0.00112152099609375, 'hibrido_mem_mb': 0.001617431640625, 'qs_factor': 2963, 'qs_time': 0.16588401794433594, 'qs_mem_mb': 0.02486419677734375}
{'bit_size': 24, 'number': 9024361, 'qs_factor': 3319, 'qs_time': 0.0017125606536865234, 'qs_mem_mb': 0.0214385986328125, 'hibrido_factor': 3319, 'hibrido_time': 0.0009551048278808594, 'hibrido_mem_mb': 0.001617431640625, 'lenstra_factor': 2719, 'lenstra_time': 0.005124568939208984, 'lenstra_mem_mb': 0.0023927688598632812}
{'bit_size': 24, 'number': 11905279, 'qs_factor': 3347, 'qs_time': 0.0011820793151855469, 'qs_mem_mb': 0.02297210693359375, 'lenstra_factor': 3347, 'lenstra_time': 0.0036585330963134766, 'lenstra_mem_mb': 0.0020732879638671875, 'hibrido_factor': 3557, 'hibrido_time': 0.032393693923950195, 'hibrido_mem_mb': 0.001617431640625}
{'bit_size': 24, 'number': 11948191, 'hibrido_factor': 3613, 'hibrido_time': 0.001413583755493164, 'hibrido_mem_mb': 0.0021791458129882812, 'qs_factor': 3307, 'qs_time': 0.008527755737304688, 'qs_mem_mb': 0.02297210693359375, 'lenstra_factor': 3613, 'lenstra_time': 0.014396429061889648, 'lenstra_mem_mb': 0.0023927688598632812}
