{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1677491187, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.5314037799835205, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1923626201, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 1.3340411186218262, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1584645065, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 1.2211616039276123, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2655188682, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 1.1130728721618652, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1508173960, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.1150054931640625, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1516553962, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.18415236473083496, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2367898019, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.22090649604797363, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1218285964, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 1.7211894989013672, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1034037786, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 2.1505396366119385, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 146970801, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.435701847076416, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2477926049, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.293241024017334, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1028735461, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 1.128441572189331, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2656939438, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 1.229114294052124, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 961518652, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.7660384178161621, 'pollard_rho_mem_mb': 0.000614166259765625}
